,raw,normalized_per_cell,filter_dispersion,log1p,scale_to_10
43,,Rpl15,Rpl15,Atp5o,Arf4
44,,Rpl17,Rpl17,Atp6ap1,Arf5
45,,Rpl19,Rpl19,Atp6v0b,Arf6
46,,Rpl22,Rpl22,Atp6v0c,Arglu1
47,,Rpl23,Rpl23,Atp6v0e,Arhgdia
48,,Rpl23a,Rpl23a,Atp6v1f,Arhgdib
49,,Rpl24,Rpl24,Atp6v1g1,Arl6ip1
50,,Rpl27,Rpl27,Atpif1,Arl6ip5
51,,Rpl27a,Rpl27a,B2m,Arpc1b
52,,Rpl29,Rpl29,B4galt1,Arpc2
53,,Rpl3,Rpl3,Banf1,Arpc3
54,,Rpl31,Rpl31,Bcap31,Arpc4
55,,Rpl32,Rpl32,Bsg,Arpc5
56,,Rpl34-ps1,Rpl34-ps1,Btf3,Atf4
57,,Rpl35a,Rpl35a,Btg1,Atox1
58,,Rpl36a,Rpl36a,Btg2,Atp1a1
59,,Rpl37,Rpl37,Calm1,Atp1b3
60,,Rpl37a,Rpl37a,Calm2,Atp5a1
61,,Rpl39,Rpl39,Calr,Atp5b
62,,Rpl5,Rpl5,Canx,Atp5c1
63,,Rpl6,Rpl6,Capzb,Atp5d
64,,Rpl7,Rpl7,Cbx3,Atp5e
65,,Rpl7a,Rpl7a,Ccdc72,Atp5f1
66,,Rpl8,Rpl8,Cct5,Atp5g1
67,,Rpl9,Rpl9,Cd47,Atp5g2
68,,Rps13,Rps13,Cd81,Atp5g3
69,,Rps16,Rps16,Cd9,Atp5h
